Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2018,7,1,5182.318811,5051.315411,4931.672006,4830.916726,4821.963017,4813.067312,4823.436807,4842.752132,4919.961033,4984.900973,5224.953292,5454.146833,5814.98256,6135.617674,6350.182537,6323.507776,6143.222793,5950.903795,5705.41084,5508.808965,5356.311291,5227.410638,5096.884011,5102.656484,5128.094433,5248.930168,5358.315569,5494.669011,5631.702687,5698.014963,5812.886686,5899.046825,6168.051247,6467.293527,6768.646977,6999.252292,7003.24136,6985.299723,6850.755982,6768.635534,6678.737444,6495.594651,6289.479606,6097.179873,5955.830046,5875.438821,5671.012444,5443.837308
2018,7,2,5208.262606,5048.753666,4888.502789,4804.692549,4958.938396,4927.753381,4908.888005,4923.376461,4794.116826,4878.854245,5080.204942,5269.51582,5592.625095,5853.265009,6003.497761,6038.937171,5875.727879,5656.837366,5427.760311,5245.821969,5088.975595,4982.879212,4907.859514,4875.977016,4941.998273,4951.457687,5009.01701,5133.475847,5221.224819,5386.983281,5577.194603,5696.580609,5972.81233,6244.141334,6532.544351,6763.715985,6789.733388,6775.99965,6643.729825,6560.773271,6479.366889,6300.734261,6152.799106,5994.77529,5845.731035,5765.353878,5532.92678,5320.3099
2018,7,3,5096.332846,4933.476778,4843.244594,4775.390403,4925.010457,4907.669922,4890.115511,4921.322944,4786.646461,4898.496604,5098.339289,5294.540088,5617.700971,5919.447418,6091.567937,6043.879344,5835.181754,5642.118981,5396.74235,5193.43526,5071.292254,4951.37498,4857.204559,4812.878907,4809.217958,4826.936997,4902.575475,5033.891211,5174.613865,5400.173176,5616.849497,5869.499823,6119.538886,6347.848388,6599.520668,6751.266176,6743.619634,6707.336923,6578.551003,6482.971554,6409.767138,6258.867157,6097.891884,5949.996007,5835.607116,5756.953919,5579.414004,5346.53179
2018,7,4,5115.668068,4988.417896,4862.163626,4782.663521,4915.903232,4887.143087,4878.898504,4891.626564,4788.309157,4880.709127,5073.747065,5287.132187,5600.877353,5882.594346,6075.452076,6064.850728,5928.420603,5745.20984,5485.467188,5249.440477,5054.287995,4942.082567,4859.802174,4798.992954,4791.718475,4807.039951,4858.26664,4980.652071,5145.941963,5281.579766,5501.197719,5696.744478,5914.990328,6204.097477,6501.358445,6742.165731,6773.045601,6796.913236,6716.037897,6645.856853,6580.546639,6426.207431,6255.679962,6086.946394,5929.426104,5846.837258,5612.861789,5360.824607
2018,7,5,5136.699718,5007.932537,4886.280215,4802.864931,4932.081589,4902.655875,4885.557136,4938.403232,4812.984116,4892.698556,5106.116089,5312.712112,5621.267479,5901.352035,6207.318987,6366.966162,6398.604229,6370.542079,6387.259104,6381.442716,6337.189694,6250.630603,6165.530836,6217.805109,6196.723432,6098.901767,6063.807674,6018.782611,6037.801131,6073.407664,6106.020486,6170.585585,6321.016459,6476.579614,6724.620948,6910.463343,6900.25261,6883.804453,6764.597273,6688.594079,6639.831857,6481.072753,6332.049288,6147.12339,6015.843384,5952.923214,5761.136374,5511.441981
2018,7,6,5280.853346,5121.507125,4963.656374,4874.238801,4797.379713,4790.73955,4781.527639,4787.514958,4789.154575,4822.790708,4936.550521,4998.676968,5152.442059,5299.193719,5351.521285,5409.272472,5326.630493,5211.298048,5075.747485,4886.333412,4696.543761,4510.643467,4355.653069,4267.176226,4219.472339,4199.767565,4237.503917,4331.432893,4423.419382,4574.348501,4779.090948,5039.022631,5371.227496,5765.413004,6149.85807,6366.533428,6444.789523,6478.13883,6379.503275,6345.757522,6318.226951,6212.725371,6098.195932,6015.95797,5943.763816,5929.161414,5708.360373,5489.026697
2018,7,7,5299.02309,5126.549861,5012.532191,4905.164681,4835.317089,4815.215998,4801.847804,4801.660196,4788.898237,4813.197704,4861.465403,4938.658896,5034.168068,5182.508336,5270.381279,5285.023097,5216.491077,5094.653192,5003.016994,4908.918231,4731.743406,4652.014912,4452.500696,4363.593431,4347.006497,4412.252153,4478.474567,4515.520974,4671.420452,4914.186507,5158.138671,5403.463515,5735.994366,6081.540749,6444.034062,6658.944626,6723.482897,6717.888502,6626.648133,6518.148605,6454.028347,6274.866848,6105.158615,5963.424041,5841.039894,5739.743523,5511.603229,5320.258297
2018,7,8,5114.429966,4972.662606,4839.21631,4945.080151,4906.443481,4886.800485,4879.248387,4909.606677,4784.308261,4912.158063,5131.079671,5384.959273,5768.30065,6162.631375,6487.600317,6595.131738,6382.022939,6105.849542,6031.108862,5776.971076,5712.340823,5665.754225,5427.110578,5391.990412,5319.939223,5402.771152,5442.214387,5506.70408,5698.13472,5840.710213,5960.353638,6132.898772,6381.750243,6633.275332,6938.577401,7149.963217,7159.698032,7134.535044,6986.349647,6885.141635,6787.186301,6576.559891,6370.600616,6204.389314,6005.594789,5846.783131,5608.899242,5371.686684
2018,7,9,5165.169417,5006.723205,4882.99849,4798.657615,4911.518531,4875.054909,4874.677871,4893.169117,4802.026052,4901.809731,5135.224137,5358.996018,5781.988817,6151.308183,6424.616912,6404.970798,6161.465684,5842.041792,5527.986861,5294.02111,5130.032066,5000.718486,4884.069486,4841.498293,4825.890611,4885.241695,4980.8085,5038.670393,5156.952043,5253.311342,5387.817449,5583.636011,5888.871954,6216.028039,6580.835353,6866.266283,6704.080763,6833.616881,6854.708413,6792.940893,6734.383129,6570.384948,6359.508366,6209.209911,6023.250943,5907.09856,5670.963,5426.907593
2018,7,10,5244.496819,5068.375573,4937.101438,4855.418034,4797.367614,4789.350036,4963.235384,4804.317734,4872.463133,4983.196716,5230.368704,5522.847552,5923.59097,6323.032651,6547.570324,6489.621509,6178.24866,5850.564122,5528.124883,5328.968752,5115.838296,4955.780358,4836.116396,4830.835144,4832.502516,4880.293084,5010.908503,5058.314785,5211.537168,5294.972307,5375.19927,5634.147404,5901.055167,6215.855245,6622.850952,6938.532626,7019.472667,7040.464151,6922.547371,6845.596858,6766.712224,6578.291764,6440.236368,6272.326408,6170.363263,6101.748244,5819.683358,5560.601762
2018,7,11,5327.391732,5120.756721,5012.42163,4897.137747,4828.310961,4801.957078,4802.418395,4808.543864,4892.055865,4975.558967,5217.482319,5442.479794,5869.089312,6264.257796,6511.925387,6453.582299,6163.497177,5811.441501,5566.486304,5343.01532,5137.638481,5000.779502,4899.301513,4863.055526,4983.998846,5079.937873,5114.434892,5153.576933,5281.374324,5318.014472,5467.38527,5682.859526,5970.706638,6280.855226,6628.180076,6942.570994,7093.287041,7110.036183,7054.139164,6978.098723,6948.109942,6783.472358,6563.186295,6367.521147,6200.874867,6032.316837,5793.695586,5570.160152
2018,7,12,5362.040284,5176.748895,5062.488974,4970.899076,4896.062442,4848.619596,4860.936546,4887.673306,4940.439634,5036.656448,5288.66932,5563.075991,5974.433226,6368.251505,6608.706042,6522.527812,6236.172323,5910.527402,5619.463231,5379.920931,5175.22599,5011.289135,4934.510768,4960.907822,4982.756863,5011.963493,5090.861207,5181.337095,5291.008143,5329.123822,5408.416954,5638.417217,5928.219157,6192.136389,6487.557278,6736.134862,6757.937495,6770.623339,6706.01304,6670.230234,6621.207283,6462.11891,6338.237249,6181.400334,6087.442511,6006.540534,5785.171283,5553.248938
2018,7,13,5346.794124,5144.89669,4994.795239,4880.214582,4818.037215,4779.766738,4930.397504,4965.37366,4782.425446,4834.801196,4943.156902,5044.319908,5184.113764,5356.723468,5474.034011,5486.571469,5391.23658,5299.116443,5126.083499,4935.633225,4789.45995,4655.909705,4529.540483,4471.193013,4471.058303,4494.89125,4558.558884,4621.787796,4683.611897,4783.959182,4993.798137,5219.833584,5496.311161,5871.091467,6177.33614,6345.726766,6391.556455,6347.882355,6210.831848,6154.420374,6076.950628,5958.3671,5856.037549,5766.291644,5698.691356,5651.826187,5490.678997,5291.229973
2018,7,14,5090.540641,4952.844118,4826.991864,4934.315687,4877.681957,4817.384612,4796.140083,4787.270616,4811.250139,4831.925306,4903.492572,4958.063488,4846.948586,4932.275005,5019.5024,5128.057307,5143.723862,5103.223007,4906.134967,4807.783527,4758.612986,4617.974476,4383.659208,4358.096589,4353.111214,4347.466964,4377.273642,4456.102271,4513.21971,4673.325651,4826.055115,5057.100131,5390.637157,5721.072977,6125.438316,6436.076811,6551.196414,6522.398856,6341.160798,6271.050457,6231.294478,6072.481529,5931.09212,5779.60865,5671.722279,5630.646944,5438.31303,5244.687827
2018,7,15,5045.303283,4923.947162,4819.775566,4903.287844,4854.206552,4826.567969,4808.528044,4827.878453,4937.254894,4875.447214,5090.958123,5336.810024,5754.983131,6103.550105,6288.287208,6215.571687,5904.479952,5640.748875,5386.700706,5191.435758,5029.897959,4935.284404,4864.592311,4858.81453,4899.404161,4911.806216,4964.274025,5023.769155,5120.052589,5260.394965,5378.270236,5622.356979,5902.181241,6187.928062,6519.610053,6746.718142,6816.029078,6786.419535,6669.030543,6567.764618,6498.884096,6318.010274,6122.807771,5986.644052,5852.058608,5737.603756,5528.673832,5280.494702
2018,7,16,5057.882252,4886.099655,4803.463432,4919.183859,4826.3327,4811.627195,4808.717079,4831.310103,4905.842041,4810.938667,5031.797843,5272.985031,5643.280455,5962.906542,6134.248785,6083.699705,5800.984015,5536.471953,5276.187001,5059.690012,4877.393124,4765.194577,4681.333007,4667.169753,4670.29676,4689.261286,4769.488092,4908.709617,5035.748612,5151.36087,5269.725919,5555.158721,5831.208596,6080.530546,6366.204387,6630.44539,6679.305715,6680.516355,6562.841246,6469.430975,6398.887327,6221.114525,6067.502748,5932.786661,5795.286654,5712.093553,5467.19457,5241.16105
2018,7,17,5021.866867,4890.830011,4773.531128,4854.6486,4810.058523,4780.202095,4769.292744,4789.513474,4869.609484,4786.878087,4983.31585,5233.635107,5600.921403,5905.607398,6076.924117,5974.600352,5677.198522,5389.76424,5130.975635,4890.94863,4731.305092,4637.493876,4533.03085,4458.235217,4459.68009,4484.44286,4526.692854,4626.241306,4787.057146,4968.004741,5183.861184,5429.770002,5766.412599,6122.391199,6523.906918,6827.039149,6946.967488,6992.472185,6906.379179,6824.869733,6763.295694,6588.726145,6374.806178,6183.295759,5990.811508,5898.341294,5661.532677,5413.248466
2018,7,18,5157.395721,4996.612099,4895.669164,4966.228554,4922.418502,4881.813418,4872.445296,4888.340583,4790.914689,4886.197515,5120.788002,5396.093557,5865.190685,6239.514088,6403.241642,6253.124314,5891.698992,5589.562465,5277.093284,5007.588162,4809.819595,4697.49607,4597.676452,4521.411474,4464.037654,4447.326105,4466.265135,4593.736708,4687.715335,4833.443214,5046.483555,5291.254798,5658.811202,6001.705452,6388.100547,6764.788708,6902.291161,6964.147734,6900.365655,6824.790389,6789.412138,6660.169551,6410.697017,6203.177501,6055.497923,5926.322806,5672.441071,5404.706663
2018,7,19,5204.996519,5015.41217,4917.09197,4797.04998,4953.736162,4930.906797,4932.843972,4771.774167,4842.637452,4991.819198,5231.725494,5527.852154,5988.908803,6435.458739,6620.079264,6469.831444,6075.476947,5732.426182,5393.329234,5128.780032,4882.552321,4728.427798,4640.676117,4564.374893,4496.255093,4464.224479,4514.259793,4585.735108,4680.871329,4856.503858,5025.656018,5274.632013,5601.394182,6030.456518,6405.440109,6697.205965,6825.294708,6871.073896,6816.294338,6755.246795,6726.719509,6610.840107,6460.505728,6321.290134,6206.886502,6076.187901,5813.724269,5544.318944
2018,7,20,5297.000751,5122.441692,4980.991621,4888.346768,4827.132133,4960.272973,4778.670858,4966.701393,4811.783653,4864.746959,4972.244495,5082.044942,5273.329105,5476.495477,5622.255306,5649.589616,5550.629497,5361.910892,5121.573801,4847.093042,4581.106755,4408.050887,4230.875696,4496.769429,4444.113639,4424.815985,4477.326298,4551.182745,4287.490329,4404.826174,4614.054568,4860.578532,5214.896874,5591.44173,5987.751766,6273.296732,6394.790916,6422.328361,6354.816833,6337.706487,6276.459136,6193.438985,6066.837635,5973.792359,5876.196018,5802.271571,5614.520934,5378.077952
2018,7,21,5191.604267,5034.067764,4900.39462,4830.792338,4952.066964,4900.304635,4867.002888,4883.360804,4883.208423,4935.970899,4826.046008,4882.571738,4962.549053,5114.811076,5169.948734,5195.471288,5096.011542,4977.196102,4823.342404,4624.873747,4437.908089,4271.47565,4519.539971,4445.331877,4401.262212,4394.692283,4467.841188,4511.841387,4292.99692,4418.58223,4617.157664,4848.560748,5195.090554,5571.803007,6009.035207,6403.040475,6590.781001,6583.136943,6466.96392,6409.756712,6382.064309,6211.16604,6061.153364,5898.869334,5762.628241,5685.789142,5475.159676,5269.17552
2018,7,22,5090.073418,4960.279112,4845.669624,4941.513071,4941.135283,4905.351404,4929.183734,4950.975957,4823.999517,4956.71242,5182.27673,5479.711689,5971.687526,6462.829258,6676.114972,6579.403419,6218.618592,5789.779276,5469.513974,5194.680559,4983.084377,4783.408006,4666.551221,4607.866001,4616.554848,4634.551452,4691.432043,4771.538711,4894.972373,5028.098419,5197.314748,5424.847396,5714.383936,6060.671787,6467.096328,6813.361582,6950.277164,6976.508586,6869.357564,6807.809331,6733.458106,6551.599484,6374.535523,6193.854423,6033.058496,5932.222363,5687.620787,5397.847202
2018,7,23,5208.02084,5036.258187,4925.866096,4816.415991,4780.528336,4884.040475,4895.465764,4808.276881,4907.611844,5033.619384,5307.651763,5627.632585,6129.373195,6590.236751,6807.792123,6632.223942,6260.704963,5854.38977,5482.339973,5221.954633,4960.847741,4809.004841,4697.130632,4643.416858,4622.606843,4619.557194,4690.316984,4768.808934,4891.68712,5026.777085,5219.154915,5464.778928,5777.739921,6107.995106,6502.00659,6843.028257,7021.619437,7133.170424,7043.227799,6955.75278,6912.983365,6719.052363,6483.485352,6313.325006,6136.606078,5992.053447,5751.805055,5505.257081
