Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2017,7,1,5486.335851,5293.640978,5154.860308,5031.481043,4967.941269,4939.723292,4918.264545,4928.386138,5010.707304,5095.21997,5287.587088,5568.283708,5921.306472,6206.4632,6409.497762,6399.624945,6238.209007,6070.77038,5897.851334,5710.337449,5657.058382,5553.354346,5307.540995,5239.868986,5188.303161,5177.588494,5195.853759,5259.587114,5371.870253,5437.85986,5606.202104,5826.73642,6077.120347,6432.287573,6817.107064,6948.022923,6945.75401,7014.148326,6904.397605,6843.223163,6800.464668,6626.217694,6455.598521,6279.32996,6107.548804,6018.035266,5912.447789,5700.711501
2017,7,2,5533.58006,5370.008098,5227.514738,5108.499219,5022.36306,4954.701369,4923.382193,4902.606126,4950.358774,5043.354006,5214.526978,5393.349256,5667.782897,5939.30049,6147.535473,6262.561366,6310.015104,6296.304318,6257.948423,6200.720004,6112.624858,5875.518884,5839.293381,5915.432179,5908.868623,5868.77302,5833.751301,5864.011016,5834.863739,5762.631993,5763.47823,5875.619649,6110.266749,6402.991603,6773.703597,7007.989837,7019.824829,7008.244561,6902.928733,6827.06831,6809.637581,6670.253074,6526.758673,6400.14407,6221.306969,6108.15634,5966.285442,5771.941586
2017,7,3,5705.066958,5491.64731,5302.262304,5166.042524,5091.719789,5051.333498,5018.975839,5048.381523,5109.04741,5226.071279,5436.436339,5695.267328,6069.919484,6355.798432,6529.126151,6512.436119,6327.090424,6074.355862,5843.085928,5614.341376,5386.364722,5237.805839,5069.618097,4999.679081,4961.526325,4955.721238,4983.348561,5089.311203,5198.281766,5347.605665,5544.758182,5812.948079,6197.38923,6665.606803,7113.212183,7452.061549,7399.456407,7474.819441,7505.682096,7441.929283,7435.442037,7285.665557,7086.271753,6887.692305,6605.579498,6454.382308,6311.745835,6099.857225
2017,7,4,5734.81937,5528.884369,5331.558822,5187.347468,5113.438924,5067.910282,5061.991727,5032.950969,5133.830083,5226.133116,5431.203471,5670.490104,5977.176414,6325.787329,6495.607392,6413.851299,6176.327673,5982.53277,5686.973273,5420.86427,5172.891861,5026.159079,4859.935367,4795.204559,4741.506747,4768.35571,4839.830464,4902.525703,5009.608143,5134.05619,5342.559783,5598.063355,5940.028878,6273.037368,6683.094703,6866.11413,6928.451765,7118.271452,7102.673171,7108.288473,7064.147344,6947.33971,6757.365307,6564.06794,6355.43552,6254.602079,6106.121004,5890.169889
2017,7,5,5636.68562,5461.310317,5285.967173,5176.93719,5106.382444,5063.812195,5021.152846,5027.550951,5104.296483,5212.748828,5409.959196,5627.334605,5940.736278,6180.050189,6287.203506,6229.423059,6008.078543,5822.743274,5557.033466,5322.315834,5095.243727,4974.970978,4821.735441,4795.290674,4763.313349,4766.784991,4850.17026,4917.510873,5022.447462,5132.11149,5353.010132,5591.153186,5931.328862,6236.469897,6589.463807,6709.098843,6723.500152,6756.213525,6755.81367,6757.761221,6740.704295,6604.068926,6519.286607,6426.981295,6286.008839,6201.466432,6053.036313,5866.364227
2017,7,6,5656.472514,5454.775529,5286.565532,5131.521836,5070.670711,5026.932508,5049.225862,5043.268016,5067.809257,5103.267909,5190.24025,5293.332766,5471.693715,5657.202861,5702.08913,5734.221428,5605.470341,5434.087007,5267.256571,5057.441316,4848.830241,4693.907834,4533.498611,4435.884111,4365.848052,4331.473531,4361.748377,4408.086715,4513.172888,4645.26466,4904.060153,5173.901711,5543.51957,5928.325212,6333.182994,6547.87021,6636.940973,6695.127548,6650.626387,6636.429853,6617.729927,6543.171302,6449.065315,6348.943788,6253.109115,6155.991001,6019.023771,5887.718599
2017,7,7,5675.500882,5481.564808,5277.868401,5150.062982,5067.76257,5016.785248,4976.62716,4970.225876,5018.173377,5046.251857,5142.144387,5209.613829,5327.686791,5460.116975,5536.988527,5556.574219,5450.254883,5322.322701,5118.660087,4923.55922,4718.709918,4559.234028,4379.520388,4281.233494,4241.534588,4653.184237,4272.564572,4345.265452,4488.325414,4634.990045,4925.044164,5194.256722,5535.861382,5931.039981,6386.036142,6621.342161,6672.982801,6757.048794,6666.049985,6627.842719,6645.877339,6488.325683,6355.163645,6214.147477,6041.680748,5937.211714,5816.787139,5673.713365
2017,7,8,5486.335851,5293.640978,5154.860308,5031.481043,4967.941269,4939.723292,4918.264545,4928.386138,5010.707304,5095.21997,5287.587088,5568.283708,5921.306472,6206.4632,6408.552599,6397.84943,6235.553272,6067.330681,5893.970945,5705.963025,5652.703672,5548.86395,5302.33158,5234.406754,5182.753951,5172.237594,5190.638545,5254.751125,5367.40885,5433.799717,5602.777482,5824.120115,6075.376144,6431.475776,6816.951663,6947.985812,6945.75401,7014.148326,6904.397605,6843.223163,6800.464668,6626.217694,6455.598521,6279.32996,6107.548804,6018.035266,5912.447789,5700.711501
2017,7,9,5533.58006,5370.008098,5227.514738,5108.499219,5022.36306,4954.701369,4923.382193,4902.606126,4950.358774,5043.354006,5214.526978,5393.349256,5667.782897,5939.30049,6147.261781,6261.98615,6309.060663,6294.966013,6256.461675,6199.09873,6110.749607,5873.17975,5837.002954,5913.134794,5906.440191,5866.451282,5831.336785,5861.771617,5832.66377,5760.225596,5760.966299,5873.302549,6108.494713,6402.109064,6773.53196,7007.950407,7019.824829,7008.244561,6902.928733,6827.06831,6809.637581,6670.253074,6526.758673,6400.14407,6221.306969,6108.15634,5966.285442,5771.941586
2017,7,10,5705.066958,5491.64731,5302.262304,5166.042524,5091.719789,5051.333498,5018.975839,5048.381523,5109.04741,5226.071279,5436.436339,5695.267328,6069.919484,6355.798432,6527.83921,6510.088058,6323.729631,6070.059531,5838.024577,5608.641739,5380.091319,5231.191403,5062.699496,4992.636048,4954.474075,4948.818767,4976.723756,5083.027431,5192.46461,5342.384166,5540.254467,5809.363772,6194.870652,6664.303733,7112.952951,7452.021224,7399.455255,7474.819441,7505.682096,7441.929283,7435.442037,7285.665557,7086.271753,6887.692305,6605.579498,6454.382308,6311.745835,6099.857225
