Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2016,7,1,5543.238633,5372.186334,5240.431569,5115.866713,5033.537586,4980.530354,4976.255931,4990.198573,5023.942618,5152.629842,5362.269332,5613.887352,5904.336975,6204.047558,6523.481413,6702.402671,6736.88727,6739.185901,6583.270803,6293.299388,6222.768805,6308.114854,6279.077011,6368.098688,6367.546053,6219.452104,6009.146454,5992.669796,5882.666275,5886.643356,6045.182141,6203.663997,6522.765565,6903.597009,7349.771446,7548.05971,7673.613183,7666.179787,7557.316716,7503.744657,7483.711193,7305.613974,7079.407933,6891.666587,6661.159348,6484.996713,6303.095272,6099.515142
2016,7,2,5855.596115,5667.351849,5483.493588,5339.779007,5235.584985,5155.665598,5179.944532,5208.002655,5236.8597,5350.718545,5610.283413,5876.355974,6269.721474,6509.752272,6812.685172,6707.36618,6594.007521,6431.573504,6140.409785,5841.826185,5572.676516,5426.925046,5278.636955,5170.306199,5080.591261,5020.544632,5067.683237,5131.621458,5274.872688,5433.703629,5628.269764,5876.901187,6273.281068,6672.471528,7132.839263,7340.60033,7409.830745,7532.846777,7496.618269,7444.942228,7426.065458,7234.637457,7054.272971,6827.946844,6579.956055,6432.387226,6224.318762,6037.310928
2016,7,3,5412.908776,5282.781499,5136.687,5005.583476,4915.792975,4860.096989,4840.304757,4841.31465,4890.911648,4980.728016,5139.947826,5320.39638,5610.987595,5825.867863,5956.353005,5987.721448,5858.230954,5693.984927,5469.898257,5293.69772,5094.791565,4932.188715,4860.702758,4843.355119,4874.18268,4901.948019,4962.432567,5065.268057,5217.477229,5308.0642,5465.189479,5610.162399,5916.648047,6179.790534,6445.481533,6657.734278,6719.578172,6728.189914,6610.81598,6577.435734,6577.468205,6439.529732,6308.921229,6164.326797,6002.246941,5851.452599,5730.468688,5598.119105
2016,7,4,5446.188495,5279.156687,5141.012976,4991.879185,4918.177472,4856.359473,4842.35554,4835.187575,4952.251936,5057.753772,5234.997226,5451.757427,5745.3386,5983.73272,6061.902521,5985.670912,5766.289419,5608.355691,5477.481365,5285.034906,5026.424373,4802.647692,4710.823038,4715.644541,4785.00761,4898.204518,5006.763416,5041.696485,5144.139608,5263.080422,5470.356969,5701.088462,6077.69255,6391.224853,6716.105982,6990.622373,7027.718654,7063.211234,7004.76174,6993.584499,7007.757792,6864.484889,6707.814094,6560.074968,6362.42078,6192.410392,6011.543278,5833.980622
2016,7,5,5624.068356,5457.364633,5286.012348,5172.342298,5095.697394,5019.067489,5010.725592,5007.659834,5060.608393,5174.777135,5374.442745,5612.823136,5949.809293,6200.252203,6277.714965,6225.382922,6062.704953,5837.425387,5569.27117,5307.164646,5074.035968,4898.327318,4824.300778,4749.380449,4687.237139,4674.672145,4710.609569,4798.877662,4933.603325,5066.095219,5312.824812,5554.503542,5934.120951,6270.095137,6577.696062,6810.999453,6837.223544,6844.475992,6806.216353,6788.772026,6803.984722,6664.888033,6522.349391,6410.459345,6247.720391,6059.626866,5907.206736,5767.569379
2016,7,6,5580.638111,5434.626842,5252.976298,5108.679835,5008.945602,4917.321576,4882.040777,4863.76239,4882.036561,4922.540065,5012.119614,5114.156598,5254.511518,5356.967743,5419.503926,5411.238899,5359.166911,5264.033018,5042.755592,4833.748872,4645.061003,4500.436053,4373.408655,4685.772591,4666.419733,4677.9305,4328.381827,4413.718408,4524.086275,4678.235706,4873.49302,5075.889,5450.736097,5803.80779,6129.821524,6323.540271,6340.375197,6355.631894,6273.684318,6250.955002,6287.20551,6189.541712,6092.926996,6016.160154,5928.273983,5839.854404,5742.237804,5620.724786
2016,7,7,5425.643327,5295.808191,5136.850446,4995.901204,4890.410887,4837.290075,4787.126508,4790.72121,4790.868345,4806.208464,4877.088505,4944.645679,4998.905176,5061.403585,5064.750408,5047.287631,4991.889733,4890.231828,4781.555878,4685.886097,4527.097623,4365.687459,4642.137248,4597.984812,4650.860068,4683.116341,4702.571681,4330.657589,4421.802227,4544.449891,4746.95111,4983.6149,5366.905214,5755.705007,6090.120845,6336.857036,6376.793496,6355.529799,6301.470559,6273.791804,6293.693862,6186.894386,6054.33847,5995.634378,5881.804872,5720.058838,5586.20417,5467.778009
2016,7,8,5303.548922,5188.920202,5046.88986,4936.118498,4875.244562,4796.679186,5257.104761,5258.072597,4814.630434,4936.878447,5133.858607,5402.193982,5698.951378,5974.574804,6076.933315,6019.194339,5800.754024,5596.041149,5357.276245,5120.03913,4926.299107,4788.867109,4711.981084,4685.331671,4686.795447,4700.431091,4752.517183,4878.594017,5012.183094,5158.563756,5387.307387,5610.982369,5949.288295,6242.574334,6539.575817,6788.609998,6830.455482,6792.045008,6707.10088,6653.783073,6630.616339,6505.811496,6364.159766,6262.702011,6112.085381,5949.904501,5813.88588,5654.336725
2016,7,9,5474.41495,5324.562195,5146.019406,5018.492512,4942.317287,4893.069001,4862.62184,4864.924848,4931.169265,4984.486468,5181.624988,5404.495746,5736.806574,6011.708152,6055.533178,5972.684683,5763.130304,5532.698352,5279.607516,5049.754599,4816.036082,4688.860632,4606.693104,4569.312633,4552.967006,4573.862529,4619.67712,4747.19608,4915.004236,5069.242418,5301.429232,5560.379728,5933.018314,6269.093791,6585.488943,6861.853369,6877.945525,6912.005112,6816.024341,6801.836534,6819.389859,6668.780857,6520.07014,6380.759387,6179.131172,6023.917501,5868.453791,5738.892853
2016,7,10,5564.908391,5417.597151,5224.997724,5073.102722,5002.25086,4964.036646,4931.679372,4923.010876,4986.448432,5069.477895,5276.319005,5488.678801,5831.460519,6113.358458,6229.351972,6169.780012,5939.568371,5705.669741,5479.25237,5270.121334,5068.551537,4940.037622,4939.231663,4937.336169,4991.968788,5049.140241,5112.415829,5214.884159,5371.422471,5466.957591,5626.58664,5786.097077,6063.163194,6386.01227,6673.27442,6928.51268,6946.839861,6949.202897,6861.729903,6850.377112,6815.848532,6654.098909,6545.635934,6384.653125,6219.010346,6099.613191,5942.734457,5768.621024
